"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Red-rumped Swallow","Cecropis daurica",,"Anon Torimi",2014-09-01,06:30,"Kyoto City, Kyoto Prefecture (location very approximate, either low mountain or suburban region)",Japan,35.0282,135.7626,?,call,"Gathering on an electric wire under cloudy sky (before rain). 
Another type of call (or song?).
In suburban region of Kyoto city.


bird-seen:yes

playback-used:no",,489638,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Anon Torimi",2019-06-18,06:20,"Kyoto City, Kyoto Prefecture (location very approximate, either low mountain or suburban region)",Japan,35.0282,135.7626,?,"alarm call, call","Alarm call (final call was by Hirundo rustica) against Corvus corone.


bird-seen:yes

playback-used:no","Hirundo rustica",482315,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Peter Boesman",2019-04-10,08:00,"Corbett NP, Uttaranchal",India,29.5334,78.9334,,Call,"Calls in flight.",,472618,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Anon Torimi",2019-05-10,07:55,"Kyoto City, Kyoto Prefecture (location very approximate, either low mountain or suburban region)",Japan,35.0282,135.7626,?,call,"Four birds assembled around the nest and issued this voice.


bird-seen:yes

playback-used:no",,472354,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-15,07:00,"Ersa, Haute-Corse, Corsica",France,43.0044,9.4058,0,"flight call","

bird-seen:yes

playback-used:no",,471959,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-15,07:00,"Ersa, Haute-Corse, Corsica",France,,,0,"flight call","

bird-seen:yes

playback-used:no",,471957,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-15,07:00,"Ersa, Haute-Corse, Corsica",France,43.0044,9.4058,0,"flight call","

bird-seen:yes

playback-used:no",,471955,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-12,07:00,"Rogliano, Haute-Corse, Corse",France,42.965,9.4512,0,"call, flight call","

bird-seen:yes

playback-used:no",,471774,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2019-04-16,19:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"song, song in flight","Two individuals in a flock with Hirundo rustica

bird-seen:yes

playback-used:no",,469885,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Thijs Fijen",2019-04-13,09:00,"La Lancha Road (near  Andújar), Jaén, Andalucía",Spain,38.2166,-3.9642,550,"call, song","

bird-seen:yes

playback-used:no","Sylvia melanocephala,Columba palumbus,Alectoris rufa,Coloeus monedula",467757,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Morvan Corentin",2019-03-28,09:00,"Oussertek, Al Haouz, Marrakech-Safi",Morocco,31.1998,-7.8888,2100,"flight call","

bird-seen:yes

playback-used:no",,464975,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Manuel Grosselet",2019-03-27,10:30,"En Hod East (near  Ein Hod), Hadera, Haifa District",Israel,32.7015,34.9833,140,"flight call","wildtronics mono amplified 
TAscam DR05 
three or 4 birds flying over head purshasing each other.

bird-seen:yes

playback-used:no",,464439,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2017-08-24,18:33,"Praia da Arrifana, Aljezur, Faro",Portugal,37.2941,-8.8639,60,"flight call","

bird-seen:yes

playback-used:no","Saxicola rubicola",445700,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2018-08-28,15:58,"Ponta da Piedade (near  Lagos), Lagos, Faro",Portugal,37.0796,-8.6686,20,"call, juvenile","Human voices

bird-seen:yes

playback-used:no","Passer domesticus,Sturnus unicolor",433098,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2017-08-24,07:15,"Ponta da Piedade (near  Lagos), Lagos, Faro",Portugal,37.0796,-8.6686,20,call,"

bird-seen:yes

playback-used:no","Sturnus unicolor,Turdus merula,Sylvia melanocephala,Larus michahellis,Cyanopica cooki",433097,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2018-08-18,20:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"flight call, song, song in flight","

bird-seen:yes

playback-used:no",,432573,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2018-08-18,19:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"flight call","Birds in flight. Mixed flock: Hirundo rustica, Cecropis daurica and Delichon urbicum. Calls in flight of C.daurica 0:03; H.rustica 0:02 or 0:11

bird-seen:yes

playback-used:no","Hirundo rustica",432571,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423982,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call, song","

bird-seen:yes

playback-used:no",,423981,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423979,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423978,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423977,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423976,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423975,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call, song","

bird-seen:yes

playback-used:no",,423973,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call, song","

bird-seen:yes

playback-used:no",,423972,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call, song","

bird-seen:yes

playback-used:no",,423909,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423908,//creativecommons.org/licenses/by-nc-sa/4.0/
